AST_PER_GAME,BLK_PER_GAME,CONF_RANKS,CONTINENT,DRAFT_PICK,DRAFT_ROUND,DREB_PER_GAME,FG3A_PER_GAME,FG3M_PER_GAME,FGA_PER_GAME,FGM_PER_GAME,FROM_TANKING,FTA_PER_GAME,FTM_PER_GAME,GP,GS,HEIGHT,MIN,NEW_TEAM,OREB_PER_GAME,PF_PER_GAME,PLAYER,PLAYER_AGE,POSITION,PTS_PER_GAME,REB_PER_GAME,STL_PER_GAME,TEAM_ID,TOV_PER_GAME,TO_TANKING,WEIGHT,YEARS_IN_LEAGUE
5.23,0.23,15,1,5,1,2.905,4.73,1.622,13.284,5.527,0,4.811,3.595,74,74,193.0,2304,0,0.986,3.27,Jaden Ivey,21,1,16.27,3.892,0.824,1610612765,3.203,0,195,0
1.716,0.791,4,1,1,1,7.388,0.358,0.104,13.239,7.791,0,2.985,2.269,67,66,213.4,2035,0,2.567,2.836,Deandre Ayton,24,5,17.955,9.955,0.552,1610612756,1.791,0,250,5
4.818,0.792,9,1,4,1,4.325,2.909,0.818,13.195,6.013,0,3.195,2.468,77,77,203.2,2678,0,2.325,2.208,Scottie Barnes,21,3,15.312,6.649,1.078,1610612761,2.0,0,225,0
0.952,3.0,2,1,4,1,5.048,4.476,1.587,13.048,6.603,0,4.857,3.825,63,60,208.3,1788,0,1.714,3.603,Jaren Jackson Jr.,23,4,18.619,6.762,1.032,1610612763,1.698,0,242,5
5.42,0.66,12,1,3,1,3.1,4.38,1.6,17.56,8.88,0,4.56,3.84,50,41,193.0,1673,0,0.82,2.14,Bradley Beal,29,1,23.2,3.92,0.9,1610612764,2.9,0,207,11
10.446,0.446,11,1,12,1,3.071,7.179,2.875,15.018,7.357,0,3.589,3.125,56,56,195.6,1883,0,0.589,1.232,Tyrese Haliburton,23,1,20.714,3.661,1.625,1610612754,2.518,0,185,0
7.548,0.452,5,1,4,1,4.575,3.918,1.219,13.575,5.918,0,4.301,2.822,73,57,190.5,2126,1,1.219,2.219,Russell Westbrook,34,1,15.877,5.795,1.041,1610612746,3.493,0,200,15
1.606,0.212,9,1,37,2,2.167,6.818,2.515,14.167,6.136,0,3.106,2.606,66,4,195.6,2118,0,0.455,1.545,Gary Trent Jr.,23,2,17.394,2.621,1.576,1610612761,0.833,0,209,5
1.418,0.544,9,1,17,1,2.81,6.291,2.557,10.127,4.899,0,2.405,2.177,79,79,203.2,2448,0,0.747,1.962,Trey Murphy III,23,3,14.532,3.557,1.127,1610612740,0.772,0,206,0
2.397,1.082,14,1,12,1,3.904,5.863,2.041,13.397,5.945,0,2.384,1.74,73,71,200.7,2380,0,1.0,2.644,P.J. Washington,24,3,15.671,4.904,0.904,1610612766,1.507,0,230,4
2.947,0.32,3,1,19,1,2.787,6.8,2.733,11.547,5.6,0,1.747,1.267,75,59,200.7,2203,1,0.56,2.413,Kevin Huerter,24,2,15.2,3.347,1.067,1610612758,1.293,0,198,5
5.729,0.288,14,1,30,1,4.034,6.525,2.39,14.983,6.627,0,4.475,3.508,59,3,193.0,2024,0,1.288,2.644,Kevin Porter Jr.,22,2,19.153,5.322,1.39,1610612745,3.186,0,203,4
1.955,0.746,9,2,23,1,3.537,5.478,2.119,13.209,6.284,0,2.493,2.09,67,67,200.7,2386,0,1.418,2.985,O.G. Anunoby,25,3,16.776,4.955,1.91,1610612761,1.97,0,232,0
1.772,0.658,9,2,5,1,7.329,1.38,0.481,10.329,5.646,0,2.835,2.342,79,72,210.8,1968,0,2.848,3.101,Jonas Valanciunas,30,5,14.114,10.177,0.253,1610612740,2.013,0,265,11
1.806,1.075,11,1,-1,-1,6.03,4.164,1.567,11.478,5.91,0,4.194,3.239,67,0,205.7,1738,1,1.299,2.522,Christian Wood,27,3,16.627,7.328,0.448,1610612742,1.806,0,214,7
1.435,2.258,11,1,11,1,6.097,4.016,1.5,11.823,6.484,0,4.452,3.484,62,31,210.8,1825,0,1.419,3.468,Myles Turner,26,4,17.952,7.516,0.581,1610612754,1.661,0,250,8
5.822,0.422,9,1,2,1,4.956,3.644,1.422,18.556,8.978,0,6.044,5.333,45,22,203.2,1538,0,0.511,2.578,Brandon Ingram,25,3,24.711,5.467,0.711,1610612740,3.289,0,190,7
2.985,0.75,1,1,4,1,4.147,2.544,0.882,11.191,6.309,0,4.618,2.809,68,11,203.2,2055,0,2.412,1.897,Aaron Gordon,27,3,16.309,6.559,0.794,1610612743,1.441,0,235,9
3.88,0.933,14,5,16,1,5.813,0.76,0.253,10.653,5.893,0,3.84,2.747,75,75,210.8,2171,0,3.227,3.44,Alperen Sengun,20,5,14.787,9.04,0.933,1610612745,2.573,0,243,0
2.514,0.541,3,1,19,1,4.824,4.378,1.703,11.419,5.716,0,1.743,1.527,74,15,200.7,2436,0,0.905,2.014,Tobias Harris,30,3,14.662,5.73,0.919,1610612755,1.203,0,226,12
1.048,0.468,1,1,14,1,4.468,7.323,3.032,13.177,6.419,0,1.935,1.548,62,9,208.3,1798,0,1.032,1.919,Michael Porter Jr.,24,3,17.419,5.5,0.597,1610612743,1.097,0,218,4
1.532,0.169,7,1,19,1,3.429,5.429,1.961,10.857,4.584,0,3.091,2.662,77,77,200.7,2129,1,1.273,1.597,Saddiq Bey,24,3,13.792,4.701,0.909,1610612737,0.922,0,215,0
3.307,0.467,10,1,12,1,3.373,2.733,0.973,10.587,5.52,0,2.547,2.067,75,75,195.6,2276,0,1.12,2.547,Jalen Williams,22,2,14.08,4.493,1.373,1610612760,1.64,0,211,0
2.589,0.219,2,1,45,2,2.726,6.014,1.959,13.575,5.37,0,2.11,1.644,73,65,198.1,2214,0,0.616,3.288,Dillon Brooks,26,2,14.342,3.342,0.89,1610612763,1.425,0,225,6
3.87,0.26,3,1,11,1,2.221,5.169,1.857,10.338,4.636,0,2.688,2.39,77,0,190.5,1719,1,0.416,1.623,Malik Monk,24,1,13.519,2.636,0.636,1610612758,1.896,0,200,6
1.5,0.366,14,1,52,2,3.976,2.634,0.829,8.78,5.0,0,2.707,1.841,82,82,200.7,2292,0,1.537,1.793,Kenyon Martin Jr.,22,3,12.671,5.512,0.5,1610612745,1.11,0,215,0
1.403,0.254,7,1,4,1,3.552,4.269,1.493,12.269,5.657,0,3.09,2.552,67,65,203.2,2126,0,0.687,2.97,De'Andre Hunter,25,2,15.358,4.239,0.522,1610612737,1.224,0,221,4
1.531,0.111,7,1,19,1,3.062,8.123,2.901,11.568,4.568,0,0.802,0.617,81,3,193.0,2093,1,0.432,1.321,Malik Beasley,26,1,12.654,3.494,0.802,1610612747,1.111,0,187,7
1.817,0.3,5,1,46,2,2.517,4.783,1.9,11.833,5.667,0,4.617,3.75,60,29,193.0,1567,0,0.4,2.083,Norman Powell,29,1,16.983,2.917,0.833,1610612746,1.683,0,215,8
1.817,0.169,11,1,24,1,3.239,7.746,2.986,11.93,4.789,0,2.324,1.789,71,0,195.6,2152,0,0.296,1.69,Tim Hardaway Jr.,30,2,14.352,3.535,0.69,1610612742,0.845,0,205,10
3.915,0.927,2,1,29,1,2.939,4.768,1.817,9.244,4.268,0,2.341,2.049,82,0,193.0,2319,0,0.634,2.159,Derrick White,28,1,12.402,3.573,0.659,1610612738,1.159,0,190,6
2.081,0.311,10,1,-1,-1,2.919,5.527,1.824,11.797,4.581,0,3.5,2.703,74,57,193.0,2272,0,1.73,3.284,Luguentz Dort,23,1,13.689,4.649,1.014,1610612760,1.243,0,220,4
1.278,0.937,14,1,3,1,5.658,4.949,1.519,11.291,4.608,0,2.608,2.051,79,79,210.8,2451,0,1.544,2.873,Jabari Smith Jr.,20,3,12.785,7.203,0.544,1610612745,1.316,0,220,0
3.701,0.269,2,1,36,2,3.552,4.433,1.97,10.925,5.284,0,2.746,2.388,67,25,193.0,1744,1,0.627,1.627,Malcolm Brogdon,30,1,14.925,4.179,0.672,1610612738,1.463,0,229,7
1.5,0.229,1,1,22,1,7.4,3.671,1.357,11.471,5.686,0,1.786,1.371,70,4,210.8,1818,0,2.2,1.643,Bobby Portis,27,3,14.1,9.6,0.414,1610612749,1.157,0,250,8
1.225,0.525,3,1,4,1,3.525,6.262,2.575,9.775,4.425,0,1.012,0.775,80,80,203.2,2382,0,1.112,2.025,Keegan Murray,22,3,12.2,4.638,0.762,1610612758,0.75,0,225,0
1.125,0.375,14,1,15,1,3.833,7.062,2.25,17.062,7.354,0,4.333,3.292,48,6,198.1,1548,0,1.354,2.938,Kelly Oubre Jr.,27,2,20.25,5.188,1.417,1610612766,1.333,0,203,8
1.662,1.235,4,1,22,1,6.544,0.147,0.015,9.206,5.926,0,3.25,2.382,68,29,205.7,2220,0,3.25,2.25,Jarrett Allen,24,5,14.25,9.794,0.794,1610612739,1.368,0,243,6
1.895,2.487,6,1,31,2,6.816,0.026,0.0,7.724,5.447,0,3.237,1.75,76,76,210.8,2271,0,2.421,2.789,Nic Claxton,24,5,12.645,9.237,0.855,1610612751,1.263,0,215,0
1.873,0.962,8,1,28,1,2.722,3.405,1.354,9.063,4.684,0,1.823,1.342,79,79,205.7,2417,0,1.165,3.443,Jaden McDaniels,22,3,12.063,3.886,0.937,1610612750,1.418,0,185,0
